Train: epoch-0 (4200/7410)	batch_time 0.08		data_time 0.01		loss 1.240	prec@1 63.38	
Train: epoch-0 (4400/7410)	batch_time 0.08		data_time 0.01		loss 1.231	prec@1 62.56	
Train: epoch-0 (4600/7410)	batch_time 0.08		data_time 0.01		loss 1.191	prec@1 64.25	
Train: epoch-0 (4800/7410)	batch_time 0.08		data_time 0.01		loss 1.175	prec@1 64.41	
Train: epoch-0 (5000/7410)	batch_time 0.08		data_time 0.01		loss 1.132	prec@1 65.97	
Train: epoch-0 (5200/7410)	batch_time 0.08		data_time 0.01		loss 1.147	prec@1 65.69	
Train: epoch-0 (5400/7410)	batch_time 0.08		data_time 0.01		loss 1.139	prec@1 66.44	
Train: epoch-0 (5600/7410)	batch_time 0.08		data_time 0.01		loss 1.092	prec@1 67.12	
Train: epoch-0 (5800/7410)	batch_time 0.08		data_time 0.01		loss 1.152	prec@1 64.88	
Train: epoch-0 (6000/7410)	batch_time 0.08		data_time 0.01		loss 1.107	prec@1 65.81	
Train: epoch-0 (6200/7410)	batch_time 0.08		data_time 0.01		loss 1.074	prec@1 66.94	
Train: epoch-0 (6400/7410)	batch_time 0.08		data_time 0.01		loss 1.038	prec@1 67.59	
Train: epoch-0 (6600/7410)	batch_time 0.08		data_time 0.01		loss 1.046	prec@1 68.91	
Train: epoch-0 (6800/7410)	batch_time 0.08		data_time 0.01		loss 1.050	prec@1 67.72	
Train: epoch-0 (7000/7410)	batch_time 0.08		data_time 0.01		loss 1.057	prec@1 68.47	
Train: epoch-0 (7200/7410)	batch_time 0.08		data_time 0.01		loss 1.071	prec@1 68.09	
Train: epoch-0 (7400/7410)	batch_time 0.08		data_time 0.01		loss 1.084	prec@1 67.28	
Validate: Prec@1 82.46  Loss 0.556
Best Prec@1: 82.46

Train: epoch-1 (200/7410)	batch_time 0.18		data_time 0.11		loss 1.056	prec@1 68.81	
Train: epoch-1 (400/7410)	batch_time 0.07		data_time 0.01		loss 1.036	prec@1 67.41	
Train: epoch-1 (600/7410)	batch_time 0.08		data_time 0.01		loss 0.978	prec@1 70.41	
Train: epoch-1 (800/7410)	batch_time 0.08		data_time 0.01		loss 1.008	prec@1 69.56	
Train: epoch-1 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.999	prec@1 69.12	
Train: epoch-1 (1200/7410)	batch_time 0.08		data_time 0.01		loss 1.016	prec@1 69.12	
Train: epoch-1 (1400/7410)	batch_time 0.08		data_time 0.01		loss 0.956	prec@1 71.69	
Train: epoch-1 (1600/7410)	batch_time 0.08		data_time 0.01		loss 0.938	prec@1 71.94	
Train: epoch-1 (1800/7410)	batch_time 0.08		data_time 0.01		loss 1.003	prec@1 70.06	
Train: epoch-1 (2000/7410)	batch_time 0.08		data_time 0.01		loss 0.985	prec@1 70.72	
Train: epoch-1 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.946	prec@1 71.53	
Train: epoch-1 (2400/7410)	batch_time 0.08		data_time 0.01		loss 0.975	prec@1 70.84	
Train: epoch-1 (2600/7410)	batch_time 0.08		data_time 0.01		loss 0.944	prec@1 71.31	
Train: epoch-1 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.971	prec@1 70.56	
Train: epoch-1 (3000/7410)	batch_time 0.08		data_time 0.01		loss 0.932	prec@1 71.91	
Train: epoch-1 (3200/7410)	batch_time 0.08		data_time 0.01		loss 1.014	prec@1 69.44	
Train: epoch-1 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.951	prec@1 71.06	
Train: epoch-1 (3600/7410)	batch_time 0.08		data_time 0.01		loss 0.957	prec@1 71.28	
Train: epoch-1 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.895	prec@1 72.88	
Train: epoch-1 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.929	prec@1 71.31	
Train: epoch-1 (4200/7410)	batch_time 0.08		data_time 0.01		loss 0.924	prec@1 72.19	
Train: epoch-1 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.940	prec@1 71.78	
Train: epoch-1 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.921	prec@1 71.56	
Train: epoch-1 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.884	prec@1 73.19	
Train: epoch-1 (5000/7410)	batch_time 0.08		data_time 0.01		loss 0.955	prec@1 70.94	
Train: epoch-1 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.921	prec@1 73.03	
Train: epoch-1 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.925	prec@1 72.53	
Train: epoch-1 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.932	prec@1 71.78	
Train: epoch-1 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.969	prec@1 70.53	
Train: epoch-1 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.877	prec@1 74.12	
Train: epoch-1 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.887	prec@1 73.78	
Train: epoch-1 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.881	prec@1 74.00	
Train: epoch-1 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.916	prec@1 71.75	
Train: epoch-1 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.874	prec@1 73.91	
Train: epoch-1 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.889	prec@1 73.47	
Train: epoch-1 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.850	prec@1 74.75	
Train: epoch-1 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.923	prec@1 71.69	
Validate: Prec@1 85.72  Loss 0.450
Best Prec@1: 85.72

Train: epoch-2 (200/7410)	batch_time 0.19		data_time 0.12		loss 0.852	prec@1 74.69	
Train: epoch-2 (400/7410)	batch_time 0.08		data_time 0.01		loss 0.849	prec@1 74.56	
Train: epoch-2 (600/7410)	batch_time 0.08		data_time 0.01		loss 0.877	prec@1 73.38	
Train: epoch-2 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.889	prec@1 73.00	
Train: epoch-2 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.851	prec@1 74.25	
Train: epoch-2 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.854	prec@1 74.00	
Train: epoch-2 (1400/7410)	batch_time 0.08		data_time 0.01		loss 0.855	prec@1 73.34	
Train: epoch-2 (1600/7410)	batch_time 0.08		data_time 0.01		loss 0.819	prec@1 75.59	
Train: epoch-2 (1800/7410)	batch_time 0.08		data_time 0.01		loss 0.868	prec@1 74.53	
Train: epoch-2 (2000/7410)	batch_time 0.08		data_time 0.01		loss 0.852	prec@1 73.97	
Train: epoch-2 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.873	prec@1 73.44	
Train: epoch-2 (2400/7410)	batch_time 0.08		data_time 0.01		loss 0.801	prec@1 75.25	
